2025-10-03 20:19:58 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:58.868307", "event": "CONFIG_CHANGE", "data": {"key": "tts_service", "old": "google", "new": "edge"}}
2025-10-03 20:19:59 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:59.313775", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:19:59 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:19:59.327818", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:00 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:00.394552", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8784, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:00 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:00.661889", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2673377990722656, "input_bytes": 8784, "output_bytes": 6284}}
2025-10-03 20:20:03 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:03.284546", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:06 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:06.664818", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:06 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:06.683026", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:07 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:07.853993", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8496, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:08 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:08.118617", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.26462435722351074, "input_bytes": 8496, "output_bytes": 6092}}
2025-10-03 20:20:10 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:10.690952", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:12 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:12.260855", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "en", "new": "tr"}}
2025-10-03 20:20:13 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:13.134432", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "tr", "new": "en"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.131134", "event": "CONFIG_CHANGE", "data": {"key": "tts_voice", "old": "female", "new": "male"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.803426", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:14 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:14.817559", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:15 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:15.551457", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8784, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:15 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:15.851810", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.3003532886505127, "input_bytes": 8784, "output_bytes": 6284}}
2025-10-03 20:20:18 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:18.474914", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:19 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:19.867977", "event": "CONFIG_CHANGE", "data": {"key": "tts_lang", "old": "en", "new": "tr"}}
2025-10-03 20:20:20 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:20.545044", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:20 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:20.559064", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:21 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:21.686740", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 8496, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:21 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:21.958473", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.27173352241516113, "input_bytes": 8496, "output_bytes": 6092}}
2025-10-03 20:20:24 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:24.533340", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:27 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:27.677061", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:27 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:27.691136", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:28 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:28.997024", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 11088, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:29 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:29.266624", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.26959991455078125, "input_bytes": 11088, "output_bytes": 7820}}
2025-10-03 20:20:32 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:32.293086", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:44 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:44.229955", "event": "BUTTON_CLICK", "data": {"action": "PREVIEW"}}
2025-10-03 20:20:44 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:44.244296", "event": "TTS_PREVIEW_START", "data": {}}
2025-10-03 20:20:45 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:45.162910", "event": "VOICE_PROCESS_START", "data": {"input_bytes": 50688, "format": "mp3", "settings": {"pitch": 0, "speed": 1.0, "volume": 1.0, "echo": false, "reverb": false, "robot": false}}}
2025-10-03 20:20:45 | INFO    | VoiceProcessor | {"timestamp": "2025-10-03T20:20:45.458137", "event": "PERFORMANCE", "data": {"action": "PROCESS_FROM_MEMORY_SUCCESS", "duration": 0.2952263355255127, "input_bytes": 50688, "output_bytes": 34220}}
2025-10-03 20:20:55 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:20:55.114711", "event": "SUCCESS", "data": {"action": "PREVIEW"}}
2025-10-03 20:21:05 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:21:05 | INFO    | Main | {"timestamp": "2025-10-03T20:21:05.980338", "event": "SESSION_START", "data": {"session_id": "20251003-202105"}}
2025-10-03 20:21:06 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:21:07 | INFO    | Main | {"timestamp": "2025-10-03T20:21:07.096029", "event": "SESSION_END", "data": {"session_id": "20251003-202105"}}
2025-10-03 20:37:03 | INFO    | root | Logs initialized in INFO mode → handler=both
2025-10-03 20:37:03 | INFO    | Main | {"timestamp": "2025-10-03T20:37:03.580192", "event": "SESSION_START", "data": {"session_id": "20251003-203703"}}
2025-10-03 20:37:03 | INFO    | ZIPConvertor | ZIPConvertor initialized at T:\TunaRP\Zero to Dev - Developer GUI\output
2025-10-03 20:37:42 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:37:42.778228", "event": "CONFIG_CHANGE", "data": {"key": "tts_service", "old": "", "new": "google"}}
2025-10-03 20:37:43 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:37:43.455651", "event": "CONFIG_CHANGE", "data": {"key": "tts_format", "old": "", "new": "mp3"}}
2025-10-03 20:37:48 | INFO    | TTSMenuApp | {"timestamp": "2025-10-03T20:37:48.611244", "event": "BUTTON_CLICK", "data": {"action": "OPEN_ZIP_SETTINGS"}}
